Cuadro 1. Población total por sexo e índice de masculinidad, según edad en años simples y grupos quinquenales de edad. Año 2010;;;;
;;;;
;;;;
;;;;
Edad;Población total;Sexo;;Índice de masculinidad
;;Varones;Mujeres;
;;;;
Total;1.055.259;519.950;535.309;97,1
;;;;
0-4;95.809;48.499;47.310;102,5
0;19.665;9.964;9.701;102,7
1;19.145;9.687;9.458;102,4
2;19.128;9.706;9.422;103,0
3;18.303;9.258;9.045;102,4
4;19.568;9.884;9.684;102,1
5-9;106.698;54.216;52.482;103,3
5;20.697;10.524;10.173;103,5
6;20.814;10.443;10.371;100,7
7;21.790;11.152;10.638;104,8
8;22.607;11.492;11.115;103,4
9;20.790;10.605;10.185;104,1
10-14;117.900;59.975;57.925;103,5
10;22.525;11.470;11.055;103,8
11;23.753;12.224;11.529;106,0
12;23.572;11.880;11.692;101,6
13;22.863;11.484;11.379;100,9
14;25.187;12.917;12.270;105,3
15-19;114.485;57.672;56.813;101,5
15;24.115;12.241;11.874;103,1
16;23.040;11.643;11.397;102,2
17;22.445;11.153;11.292;98,8
18;22.962;11.534;11.428;100,9
19;21.923;11.101;10.822;102,6
20-24;90.144;44.430;45.714;97,2
20;20.197;10.108;10.089;100,2
21;17.747;8.730;9.017;96,8
22;17.430;8.550;8.880;96,3
23;17.516;8.697;8.819;98,6
24;17.254;8.345;8.909;93,7
25-29;82.001;39.884;42.117;94,7
25;16.593;8.109;8.484;95,6
26;15.984;7.785;8.199;95,0
27;16.279;7.905;8.374;94,4
28;16.908;8.281;8.627;96,0
29;16.237;7.804;8.433;92,5
30-34;76.796;37.374;39.422;94,8
30;17.223;8.409;8.814;95,4
31;15.980;7.777;8.203;94,8
32;15.084;7.403;7.681;96,4
33;14.565;7.084;7.481;94,7
34;13.944;6.701;7.243;92,5
35-39;63.233;30.592;32.641;93,7
35;13.765;6.682;7.083;94,3
36;13.009;6.403;6.606;96,9
37;12.547;5.931;6.616;89,6
38;12.088;5.872;6.216;94,5
39;11.824;5.704;6.120;93,2
40-44;56.035;27.162;28.873;94,1
40;12.106;5.944;6.162;96,5
41;11.004;5.324;5.680;93,7
42;11.032;5.335;5.697;93,6
43;11.018;5.335;5.683;93,9
44;10.875;5.224;5.651;92,4
45-49;53.825;26.412;27.413;96,3
45;11.317;5.521;5.796;95,3
46;10.898;5.242;5.656;92,7
47;10.789;5.300;5.489;96,6
48;10.713;5.414;5.299;102,2
49;10.108;4.935;5.173;95,4
50-54;49.959;24.753;25.206;98,2
50;10.962;5.405;5.557;97,3
51;9.741;4.779;4.962;96,3
52;9.676;4.735;4.941;95,8
53;9.998;5.005;4.993;100,2
54;9.582;4.829;4.753;101,6
55-59;42.703;21.323;21.380;99,7
55;9.050;4.462;4.588;97,3
56;8.737;4.377;4.360;100,4
57;8.747;4.438;4.309;103,0
58;8.206;4.049;4.157;97,4
59;7.963;3.997;3.966;100,8
60-64;32.225;15.896;16.329;97,3
60;7.656;3.859;3.797;101,6
61;6.568;3.331;3.237;102,9
62;6.493;3.174;3.319;95,6
63;5.958;2.884;3.074;93,8
64;5.550;2.648;2.902;91,2
65-69;25.133;11.896;13.237;89,9
65;5.809;2.794;3.015;92,7
66;5.156;2.445;2.711;90,2
67;5.090;2.398;2.692;89,1
68;4.808;2.264;2.544;89,0
69;4.270;1.995;2.275;87,7
70-74;19.756;8.706;11.050;78,8
70;4.822;2.113;2.709;78,0
71;3.991;1.744;2.247;77,6
72;3.773;1.732;2.041;84,9
73;3.687;1.638;2.049;79,9
74;3.483;1.479;2.004;73,8
75-79;13.997;5.939;8.058;73,7
75;3.445;1.485;1.960;75,8
76;2.861;1.217;1.644;74,0
77;2.668;1.151;1.517;75,9
78;2.682;1.150;1.532;75,1
79;2.341;936;1.405;66,6
80-84;8.774;3.321;5.453;60,9
80;2.452;906;1.546;58,6
81;1.907;734;1.173;62,6
82;1.684;678;1.006;67,4
83;1.491;538;953;56,5
84;1.240;465;775;60,0
85-89;3.975;1.361;2.614;52,1
85;1.088;373;715;52,2
86;952;327;625;52,3
87;758;253;505;50,1
88;614;214;400;53,5
89;563;194;369;52,6
90-94;1.438;442;996;44,4
90;490;147;343;42,9
91;336;96;240;40,0
92;244;75;169;44,4
93;223;73;150;48,7
94;145;51;94;54,3
95-99;324;83;241;34,4
95;116;28;88;31,8
96;76;20;56;35,7
97;51;12;39;30,8
98;53;13;40;32,5
99;28;10;18;55,6
100 y más;49;14;35;40,0
 ;;;;
Nota: la población total incluye a las personas viviendo en situación de calle.;;;;
 ;;;;
El índice de masculinidad indica la cantidad de varones por cada 100 mujeres.;;;;
 ;;;;
Fuente: INDEC. Censo Nacional de Población, Hogares y Viviendas 2010.;;;;
