Municipio;Código Organizacion;Tipo;Hectáreas;Periodo de Siembra
SAN BERNARDO;59;ZAPALLO;2;FEB 
NAPENAY;17;ZAPALLO;0,2;OCTUBRE 
CORZUELA;43;ZAPALLO;5;
AVIA TERAI;100;ZAPALLO;2;
CORZUELA;43;ZAPALLO;2,5;
CORZUELA;43;ZAPALLO;1;JULIO
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;1;ENE
CAMPO LARGO;14;ZAPALLO;1;ENE
CAMPO LARGO;14;ZAPALLO;0,5;AGO
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;1;ENE
CAMPO LARGO;14;ZAPALLO;0,5;AGO
CAMPO LARGO;14;ZAPALLO;0,5;SEP
CAMPO LARGO;14;ZAPALLO;0,5;ENE
CAMPO LARGO;14;ZAPALLO;2;ENE
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;0,5;ENE
CAMPO LARGO;14;ZAPALLO;0,5;AGO
CAMPO LARGO;14;ZAPALLO;0,5;ENE
CAMPO LARGO;14;ZAPALLO;0,5;ENE
CAMPO LARGO;14;ZAPALLO;1;ENE
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;1;AGO
CAMPO LARGO;14;ZAPALLO;0,5;ENE
AVIA TERAI;18;ZAPALLO;2;
AVIA TERAI;18;MANDIOCA;1;SEPTIEMBRE
AVIA TERAI;18;ZAPALLO;1;SEPTIEMBRE
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;100;ZAPALLO;0,25;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;MANDIOCA;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;100;ZAPALLO;0,5;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;MANDIOCA;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;ZAPALLO;21;
AVIA TERAI;18;ZAPALLO;0,5;
AVIA TERAI;18;MANDIOCA;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;100;ZAPALLO;0,5;FEBRERO
AVIA TERAI;100;ZAPALLO;1;
AVIA TERAI;100;ZAPALLO;1;
AVIA TERAI;100;ZAPALLO;1;AGOSTO
AVIA TERAI;100;ZAPALLO;0,5;Y BATATA
AVIA TERAI;100;ZAPALLO;3;
AVIA TERAI;18;MANDIOCA;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;MANDIOCA;1;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;ZAPALLO;0,5;
AVIA TERAI;18;MANDIOCA;0,25;
AVIA TERAI;18;ZAPALLO;0,25;
AVIA TERAI;18;ZAPALLO;1;
AVIA TERAI;18;ZAPALLO;1;
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;sep
GENERAL J. DE SAN MARTIN;24;MANDIOCA;1;jul/ago
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;ago/sep
GENERAL J. DE SAN MARTIN;24;MANDIOCA;1;jul
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1,2;jul
GENERAL J. DE SAN MARTIN;24;ZAPALLO;3;OCTUBRE
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;jul
GENERAL J. DE SAN MARTIN;24;ZAPALLO;0;
GENERAL J. DE SAN MARTIN;24;MANDIOCA;0;anual
GENERAL J. DE SAN MARTIN;24;ZAPALLO;0;feb
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;anual
GENERAL J. DE SAN MARTIN;24;MANDIOCA;0,5;TODO EL AÑO
GENERAL J. DE SAN MARTIN;24;ZAPALLO;0,5;TODO EL AÑO
GENERAL J. DE SAN MARTIN;24;MANDIOCA;0,5;SEPTIEMBRE
GENERAL J. DE SAN MARTIN;24;ZAPALLO;0,5;SEPTIEMBRE
GENERAL J. DE SAN MARTIN;24;MANDIOCA;2;ago/feb
GENERAL J. DE SAN MARTIN;24;ZAPALLO;2;ago/dic
GENERAL J. DE SAN MARTIN;24;MANDIOCA;1,2;sep
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;sep
GENERAL J. DE SAN MARTIN;24;MANDIOCA;0,5;SEPTIEMBRE
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;SEPTIEMBRE
GENERAL J. DE SAN MARTIN;24;MANDIOCA;1,2;sep
GENERAL J. DE SAN MARTIN;24;ZAPALLO;1;sep/ene
EL SAUZALITO;75;ZAPALLO;0,5;julio
EL SAUZALITO;75;ZAPALLO;0,5;agosto
EL SAUZALITO;75;ZAPALLO;0,5;julio
EL SAUZALITO;75;ZAPALLO;0,25;agosto a diciembre
EL SAUZALITO;75;ZAPALLO;0,5;octubre 
EL SAUZALITO;75;ZAPALLO;0,5;agosto
EL SAUZALITO;75;ZAPALLO;0,5;agosto
EL SAUZALITO;75;ZAPALLO;1;agosto
