fecha,zona_prov,clae2,w_mean
2007-01-01,BUENOS AIRES,1,1199
2007-01-01,BUENOS AIRES,2,1036
2007-01-01,BUENOS AIRES,3,2955
2007-01-01,BUENOS AIRES,5,1636
2007-01-01,BUENOS AIRES,6,8340
2007-01-01,BUENOS AIRES,7,1631
2007-01-01,BUENOS AIRES,8,2381
2007-01-01,BUENOS AIRES,9,1789
2007-01-01,BUENOS AIRES,10,2092
2007-01-01,BUENOS AIRES,11,3259
2007-01-01,BUENOS AIRES,12,4943
2007-01-01,BUENOS AIRES,13,1708
2007-01-01,BUENOS AIRES,14,1258
2007-01-01,BUENOS AIRES,15,1715
2007-01-01,BUENOS AIRES,16,1413
2007-01-01,BUENOS AIRES,17,2542
2007-01-01,BUENOS AIRES,18,1876
2007-01-01,BUENOS AIRES,19,3597
2007-01-01,BUENOS AIRES,20,3308
2007-01-01,BUENOS AIRES,21,3963
2007-01-01,BUENOS AIRES,22,2321
2007-01-01,BUENOS AIRES,23,2366
2007-01-01,BUENOS AIRES,24,3722
2007-01-01,BUENOS AIRES,25,1854
2007-01-01,BUENOS AIRES,26,1965
2007-01-01,BUENOS AIRES,27,2225
2007-01-01,BUENOS AIRES,28,2156
2007-01-01,BUENOS AIRES,29,3728
2007-01-01,BUENOS AIRES,30,2067
2007-01-01,BUENOS AIRES,31,1492
2007-01-01,BUENOS AIRES,32,1835
2007-01-01,BUENOS AIRES,33,2112
2007-01-01,BUENOS AIRES,35,4314
2007-01-01,BUENOS AIRES,36,3151
2007-01-01,BUENOS AIRES,37,1756
2007-01-01,BUENOS AIRES,38,2211
2007-01-01,BUENOS AIRES,39,1638
2007-01-01,BUENOS AIRES,41,1065
2007-01-01,BUENOS AIRES,42,1881
2007-01-01,BUENOS AIRES,43,1258
2007-01-01,BUENOS AIRES,45,1775
2007-01-01,BUENOS AIRES,46,1967
2007-01-01,BUENOS AIRES,47,1356
2007-01-01,BUENOS AIRES,49,2346
2007-01-01,BUENOS AIRES,50,2932
2007-01-01,BUENOS AIRES,51,3197
2007-01-01,BUENOS AIRES,52,2061
2007-01-01,BUENOS AIRES,53,2270
2007-01-01,BUENOS AIRES,55,1253
2007-01-01,BUENOS AIRES,56,1047
2007-01-01,BUENOS AIRES,58,2171
2007-01-01,BUENOS AIRES,59,1545
2007-01-01,BUENOS AIRES,60,2642
2007-01-01,BUENOS AIRES,61,2462
2007-01-01,BUENOS AIRES,62,2933
2007-01-01,BUENOS AIRES,63,2146
2007-01-01,BUENOS AIRES,64,3957
2007-01-01,BUENOS AIRES,65,2374
2007-01-01,BUENOS AIRES,66,1466
2007-01-01,BUENOS AIRES,68,1268
2007-01-01,BUENOS AIRES,69,1056
2007-01-01,BUENOS AIRES,70,1482
2007-01-01,BUENOS AIRES,71,1345
2007-01-01,BUENOS AIRES,72,1850
2007-01-01,BUENOS AIRES,73,1689
2007-01-01,BUENOS AIRES,74,1120
2007-01-01,BUENOS AIRES,75,1002
2007-01-01,BUENOS AIRES,77,1851
2007-01-01,BUENOS AIRES,78,1321
2007-01-01,BUENOS AIRES,79,1240
2007-01-01,BUENOS AIRES,80,1208
2007-01-01,BUENOS AIRES,81,877
2007-01-01,BUENOS AIRES,82,1460
2007-01-01,BUENOS AIRES,85,1046
2007-01-01,BUENOS AIRES,86,1683
2007-01-01,BUENOS AIRES,87,1332
